Date,Time,Food Name,Serving Size,Serving Qty,Serving Weight (g),Calories (kcal),Fat (g),Carbs (g),Protein (g),Alcohol (g),"B12, Cobalamin (mcg)","B1, Thiamine (mg)","B2, Riboflavin (mg)","B3, Niacin (mg)","B5, Pantothenic Acid (mg)","B6, Pyridoxine (mg)",Caffeine (mg),Calcium (mg),Cholesterol (mg),Choline (mg),Copper (mg),Cysteine (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Saturated Fat (g),Trans Fat (g),Fiber (g),Folate (mcg),Histidine (g),Iron (mg),Isoleucine (g),Leucine (g),Lysine (g),Magnesium (mg),Manganese (mg),Methionine (g),Omega-3 ALA (g),Omega-3 DHA (g),Omega-3 EPA (g),Omega-3 (g),Omega-6 (g),Phenylalanine (g),Phosphorus (mg),Potassium (mg),Selenium (mcg),Sodium (mg),Starch (g),Sugars (g),Sugars Added (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Vitamin A (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
2025-10-02,2:47 PM,"Wild Berry Gummi Candy, Wild Berry",serving,0.3,100,100,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
2025-10-02,6:20 PM,Creamy Dark Chocolate Peanut Butter Cups,piece,1,12.5,70,5,7,1,,,,,,,,,,,,,,,,2.5,,0.5,,,0.4,,,,,,,,,,,,,,47,,37.5,,5.5,,,,,,,,,,,,
2025-10-02,9:04 PM,Goat Cheese & Sundried Tomato Ravioli,cup,1,83,220,9,27,8,,,,,,,,,70,60,,,,,,5,,1,,,0.8,,,,,,,,,,,,,,160,,590,,2,,,,,,,,,,,,
2025-10-02,9:04 PM,chicken breast,g,160,1,264,6,0,50,,0.5,0.1,0.2,21.9,1.5,1,,24,136,136,0.1,0.6,2,1.2,1.6,,,6.4,1.5,1.7,2.6,3.7,4.2,46.4,0,1.4,,0,0,,,2,364.8,409.6,44.2,118.4,,,,2.1,0.6,1.7,2.5,,,,0.4,0.5,104,1.6
2025-10-02,9:05 PM,"Spinach, Raw",cup,1,30,7,0,1,1,,,0,0.1,0.2,0,0.1,,20.1,,6,0,0,0,0.1,0,,0.5,33.9,0,0.3,0,0.1,0.1,27.9,0.1,0,0.1,,,0.1,,0,12.3,138,,32.1,,0.1,,0,0,0,0,91.9,9.1,,0.6,144.9,28,0.1
2025-10-02,9:18 PM,Familia Swiss Muesli - Original Recipe,g,38,1,139,2,25,4,,0.1,0.1,0.2,0.7,0.3,0,,12.7,,9,0.2,0.1,1.2,0.6,0.3,,3.2,6.1,0.1,1.1,0.1,0.3,0.1,120.5,1.2,0.1,0,,,0,0.6,0.2,128.1,187.7,6.6,3,,8.2,4.7,0.1,0,0.1,0.2,0.1,0.2,,0.4,1.4,5,0.7
2025-10-02,9:18 PM,Honey,g,5,1,15,0,4,0,,,,0,0,0,0,,0.3,,0,0,0,,,,,0,0.1,0,0,0,0,0,0.1,0,0,,,,,,0,0.2,2.6,0,0.2,,4.1,4.1,0,0,0,0,,0,,,,1,0
2025-10-02,9:18 PM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-03,9:27 AM,milk,oz,4,30.5,61,2,6,4,,0.6,0,0.2,0.1,0.4,0,,146.4,10,20,0,0,0.7,0.1,1.5,0.1,,6.1,0.1,0,0.2,0.4,0.3,13.4,0,0.1,0,,,,,0.2,112.2,170.8,3,57.3,,6.2,,0.2,0.1,0.2,0.3,,0.2,,0,0.2,109,0.6
2025-10-03,9:28 AM,Soft Spreadable Light Cream Cheese,g,18,1,42,3,3,2,,,,,,,,,60,9,,,,,,1.8,,,,,,,,,,,,,,,,,,,84,,57,,2.4,,,,,,,,,,,,
2025-10-03,9:28 AM,Whole Grain English Muffins,muffin,1,76,159,2,30,7,,,,,,,,,40,,,,,,,,,4,,,,,,,,,,,,,,,,,,,328,,3,,,,,,,,,,,,
2025-10-03,10:00 AM,Kinder Bueno,wafer,1,20,110,7,11,2,,,,,,,,,47,5,,,,,,3,,,,,,,,,,,,,,,,,,,68,,25,,9,,,,,,,,,,,,
2025-10-03,10:00 AM,Milk Chocolate Riegel,riegel,1,21,119,7,11,2,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,30,,11,,,,,,,,,,,,
2025-10-03,11:00 AM,Feta Cheese,tbsp,1,9.38,26,2,1,2,,0.2,0,0,0,0.1,0,,34.8,5,1,0,0,0.4,0.1,1,,,3,0.1,0,0.1,0.2,0.2,1.7,0,0,0,,,0,0,0.1,30.7,9.8,1.4,96.9,,0.2,,0.1,0,0.1,0.1,13.8,,,0,0.2,5,0.2
2025-10-03,11:00 AM,Rice White Cooked Without Salt,cup,1,186,242,0,53,4,,,0.3,0,3.4,0.8,0.1,,5.6,,,0.1,0.1,0.1,0.1,0.1,,0.6,107.9,0.1,2.8,0.2,0.4,0.2,24.2,0.7,0.1,,,,,,0.2,68.8,53.9,13.9,,,,,0.2,0.1,0.1,0.3,,,,,,128,0.8
2025-10-03,11:00 AM,Sesame Butter or Tahini,tbsp,1,15,89,8,3,3,,,0.2,0.1,0.8,0.1,0,,63.9,,4,0.2,0.1,3,3.5,1.1,,1.4,14.7,0.1,1.3,0.1,0.2,0.1,14.3,0.2,0.1,,,,,,0.1,109.8,62.1,5.2,17.3,,0.1,,0.1,0.1,0.1,0.1,0.5,,,0,,0,0.7
2025-10-03,11:00 AM,Turkey Ground 93% Lean 7% Fat Raw,oz,4,28.35,170,9,0,21,,1.4,0.1,0.2,6.1,1.1,0.4,,23.8,84,60,0.1,0.2,3.2,2.9,2.5,,,7.9,0.6,1.3,1,1.7,1.9,23.8,0,0.6,0.1,0,0,0.2,2.5,0.8,218.9,241.5,21.5,78.2,,,,1,0.2,0.8,1,24.9,,0.5,0.1,,82,2.9
2025-10-03,8:03 PM,Chinese Restaurant Kung Pao Chicken Without Rice,order,0.7,604,545,30,29,41,,0.5,0.1,0.2,11.7,2.1,1,,84.6,110,158,0.3,0.4,9.2,12.8,5.7,,6.3,67.6,1.1,3.2,1.8,3.3,1.9,101.5,1.1,1,1,0,0,1.1,11.4,1.7,397.4,921.7,34.2,1699.7,,12.8,,1.7,0.5,1.5,2,274.8,30,,4.3,57.5,316,3.1
2025-10-03,8:03 PM,Egg Fried Rice,g,250,1,410,8,76,10,,,,,,,,,,,,,,,,1.2,,1.6,,,,,,,,,,,,,,,,,,,760,,2,,,,,,,,,,,,
2025-10-04,7:00 AM,Kinder Bueno,wafer,1,20,110,7,11,2,,,,,,,,,47,5,,,,,,3,,,,,,,,,,,,,,,,,,,68,,25,,9,,,,,,,,,,,,
2025-10-04,7:00 AM,Kinder Bueno,wafer,1,20,110,7,11,2,,,,,,,,,47,5,,,,,,3,,,,,,,,,,,,,,,,,,,68,,25,,9,,,,,,,,,,,,
2025-10-04,8:00 AM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-04,9:00 AM,Strained Thick & Creamy Greek Yogurt Plain,serving,1,170,170,9,7,15,,,,,,,,,170,35,,,,,,6,,,,,0.2,,,,,,,,,,,,,,230,,60,,6,,,,,,,,,,,,
2025-10-04,10:00 AM,"Pecans, Raw",g,10,1,70,7,1,1,,,0.1,0,0.1,0.1,0,,5.5,,4,0.1,0,3.9,2.3,0.6,,0.6,2.2,0,0.2,0,0.1,0,10.3,0.2,0,0.1,,,0.1,2.1,0,25.3,36,0.4,,,0.4,,0,0,0,0,0.3,0.1,,0.1,0.4,0,0.4
2025-10-04,12:00 PM,pretzel,g,100,1,384,3,80,10,,,0.4,0.3,5.3,0.3,0.1,,27,,30,0.2,0.2,0.7,1.3,0.4,,3.4,166,0.2,4.6,0.4,0.8,0.3,29,1,0.2,0.1,,,,,0.5,128,223,4.4,1240,72.6,2.2,,0.3,0.1,0.3,0.5,,2.1,,0.5,2.8,3,1
2025-10-04,2:00 PM,"Eggs, Cooked",large,3,50,233,16,2,19,,1.7,0.1,0.8,0.1,2.1,0.2,,75,560,441,0,0.4,6.1,2.1,4.9,,,66,0.4,1.8,1,1.6,1.4,15,0,0.6,0,0.1,0,0.1,2,1,258,189,46.2,186,,1.7,,0.9,0.2,0.8,1.2,224,,3.3,1.5,0.4,112,1.6
2025-10-04,2:00 PM,Focaccia Italian Flatbread Plain,g,46,1,115,4,16,4,,,0.2,0.1,1.7,0.3,0.1,,16.1,,1,0,,2.6,0.5,0.4,,0.8,63.5,,1.5,,,,9.2,0.2,,,,,,,,58.9,52.4,7.3,258.1,,0.8,,,,,,0,,,0.7,2.6,21,0.6
2025-10-04,2:00 PM,Spinach Cooked Boiled Drained With Salt,cup,1,180,41,0,7,5,,,0.2,0.4,0.9,0.3,0.4,,244.8,,35,0.3,0.1,0,0.2,0.1,,4.3,262.8,0.1,6.4,0.3,0.4,0.3,156.6,1.7,0.1,,,,,,0.2,100.8,838.8,2.7,550.8,,0.8,,0.2,0.1,0.2,0.3,943.2,17.6,,3.7,889.2,164,1.4
2025-10-04,4:00 PM,Brambleberry Crisp Ice-Cream,cup,0.67,197.01,350,19,40,5,,,,,,,,,164,60,,,,,,11,,,,,,,,,,,,,,,,,,,176,,125,,31,,,,,,,,,,,,
2025-10-04,5:00 PM,"Soft Pretzel, Salted",g,56,1,193,2,40,5,,,0.2,0.2,2.4,0.4,0,,12.9,,10,0.1,0.1,0.6,0.5,0.4,,1,13.4,0.1,2.2,0.2,0.3,0.1,11.8,0.3,0.1,0,,,0,0.5,0.2,44.2,49.3,9.6,305.2,,0.1,,0.1,0.1,0.1,0.2,,,,0.3,1.5,8,0.5
2025-10-04,8:00 PM,Chicken Breast Grilled Boneless Skinless,oz,8.4,28.33,352,8,0,70,,0.5,0.2,0.5,26.4,3.5,2.3,,14.3,252,257,0.1,0.7,3.1,1.7,2.4,,,,2.6,1,3.5,5.8,6.8,73.8,0,1.8,0.1,0,0,0.1,1.3,2.8,592.6,999.6,100.9,511.7,,,,3.1,0.9,2.5,3.6,23.8,,,0.8,,158,2
2025-10-05,7:47 AM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-05,7:47 AM,Raspberry Spread,tbsp,1,18,30,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,7,,,,,,,14,,,,,
2025-10-05,7:47 AM,Strained Thick & Creamy Greek Yogurt Plain,serving,1,170,170,9,7,15,,,,,,,,,170,35,,,,,,6,,,,,0.2,,,,,,,,,,,,,,230,,60,,6,,,,,,,,,,,,
2025-10-05,7:47 AM,Whole Grain English Muffins,muffin,1,76,159,2,30,7,,,,,,,,,40,,,,,,,,,4,,,,,,,,,,,,,,,,,,,328,,3,,,,,,,,,,,,
2025-10-05,9:25 AM,chicken breast grilled,g,109,1,161,4,0,32,,0.2,0.1,0.2,12.1,1.6,1.1,,6.5,116,117,0,0.3,1.4,0.8,1.1,0,,,1.2,0.5,1.6,2.7,3.1,33.8,0,0.8,0,0,0,,,1.3,271.4,457.8,46.2,234.3,,,,1.4,0.4,1.2,1.7,,,,0.4,,73,0.9
2025-10-05,11:00 AM,Bagels Green Chile,serving,1,100,350,8,58,15,,,,,,,,,,25,,,,,,4.5,,2,,,,,,,,,,,,,,,,,,,680,,6,,,,,,,,,,,,
2025-10-05,11:00 AM,Whipped Cream Cheese Shmear Plain Schmear,serving,1,100,120,12,2,2,,,,,,,,,,35,,,,,,8,,,,,,,,,,,,,,,,,,,,,115,,2,,,,,,,,,,,,
2025-10-05,4:56 PM,Cinnamon Roll Cereal,serving,1,37,140,7,15,12,,,,,,,,,35,10,,,,,,1.5,,1,,,2,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,
2025-10-05,5:00 PM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-05,7:00 PM,Egg Whole Fried,large,1,46,90,7,0,6,,0.4,0,0.2,0,0.8,0.1,,28.5,184,146,0,0.1,2.8,1.5,2,,,23.5,0.2,0.9,0.3,0.5,0.5,6,0,0.2,,0,,,,0.3,98.9,69.9,15.2,95.2,,0.2,,0.3,0.1,0.2,0.4,100.7,,1,0.6,2.6,32,0.6
2025-10-05,7:00 PM,Rice White Cooked Without Salt,g,100,1,130,0,29,2,,,0.2,0,1.8,0.4,0.1,,3,,,0,0,0.1,0.1,0.1,,0.3,58,0.1,1.5,0.1,0.2,0.1,13,0.4,0.1,,,,,,0.1,37,29,7.5,,,,,0.1,0,0.1,0.1,,,,,,69,0.4
2025-10-05,7:00 PM,Turkey Ground 93% Lean 7% Fat Raw,oz,6,28.35,255,14,0,32,,2,0.1,0.3,9.2,1.7,0.6,,35.7,126,90,0.2,0.3,4.8,4.3,3.7,,,11.9,0.9,2,1.4,2.6,2.9,35.7,0,0.9,0.2,0,0,0.2,3.7,1.2,328.3,362.3,32.3,117.4,,,,1.5,0.4,1.1,1.5,37.4,,0.7,0.2,,123,4.3
2025-10-06,7:00 AM,Turkey Ground 93% Lean 7% Fat Raw,g,190,1,285,16,0,36,,2.3,0.1,0.4,10.3,1.9,0.7,,39.9,141,101,0.2,0.4,5.4,4.8,4.1,,,13.3,1.1,2.2,1.6,2.9,3.2,39.9,0,1,0.2,0,0,0.3,4.1,1.4,366.7,404.7,36.1,131.1,,,,1.6,0.4,1.3,1.6,41.8,,0.8,0.2,,138,4.8
2025-10-06,7:47 AM,Milk Chocolate,serving,1,30,160,10,16,2,,,,,,,,,78,5,,,,,,6,,1,,,1.1,,,,,,,,,,,,,,188,,25,,15,,,,,,,,,,,,
2025-10-06,8:00 AM,Rice White Cooked Without Salt,g,100,1,130,0,29,2,,,0.2,0,1.8,0.4,0.1,,3,,,0,0,0.1,0.1,0.1,,0.3,58,0.1,1.5,0.1,0.2,0.1,13,0.4,0.1,,,,,,0.1,37,29,7.5,,,,,0.1,0,0.1,0.1,,,,,,69,0.4
2025-10-06,11:22 AM,"Hamburger Bun, Whole Wheat","large - 4 diameter""",1.2,57,172,2,29,9,,,0.3,0.1,3,0.4,0.1,,135.4,,19,0.2,0.1,0.4,1.1,0.5,,4.1,28.7,0.1,1.7,0.2,0.3,0.1,51.3,1.5,0.1,0.1,,,0.1,1,0.2,145,165.5,17.6,326.3,,3,2.8,0.1,0.1,0.1,0.2,0.1,,,1.8,5.3,27,1.2
2025-10-06,11:22 AM,Mango Passionfruit Kombucha 415ml Bottle,ml,415,0.24,40,0,10,0,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,
2025-10-06,11:22 AM,Pure Protein Chocolate Peanut Butter,bar,0.75,50,150,5,13,15,,,,,7.5,,,,82.5,8,,,,,,2.3,,0.8,,,,,,,,,,,,,,,,,112.5,,150,,1.5,1.5,,,,,,,,,,,
2025-10-06,11:23 AM,Beef Ground 80% Lean 20% Fat or Hamburger Patty Raw,g,150,1,381,30,0,26,,3.2,0.1,0.2,6.3,0.7,0.5,,27,107,85,0.1,0.3,13.3,0.8,11.4,,,10.5,0.8,2.9,1.1,2,2.1,25.5,0,0.7,0.1,,,0.1,,1,237,405,22.5,99,,,,1,0.1,0.8,1.3,6,,0.2,0.3,2.7,93,6.3
2025-10-06,2:25 PM,U-Haul Peanut Butter Cup,serving,1,100,293,4,36,32,,0.1,0,0.1,0.8,0.4,0.4,,164.2,56,14,0.1,0,0.1,0.1,1.3,0,5.1,24.4,0.1,1.4,0.1,0.1,0.1,33.5,0.3,0,0,,,0,,0.1,40,793.8,1.6,228.3,6.3,18.2,,0.1,0,0,0.1,31.3,10.3,0.2,0.1,0.6,102,0.3
2025-10-06,5:29 PM,"Milk, Whole",g,0,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,0,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0
2025-10-06,5:29 PM,Old Country Style Muesli,serving,1,35,140,3,23,4,,,,,,,,,14,,,,,,,,,4,,,1,,,,,,,,,,,,,,194.9,,,,5,,,,,,,,,,,,
2025-10-06,8:18 PM,grilled chicken breast,g,146,1,216,5,0,43,,0.3,0.1,0.3,16.2,2.2,1.4,,8.8,155,157,0,0.5,1.9,1,1.5,0,,,1.6,0.6,2.1,3.6,4.1,45.3,0,1.1,0,0,0,,,1.7,363.5,613.2,61.9,313.9,,,,1.9,0.5,1.6,2.2,,,,0.5,,97,1.2
2025-10-06,9:18 PM,Magnesium l-Threonate,capsules,2,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-06,9:24 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-06,9:44 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-07,7:00 AM,Chicken Breast Grilled Boneless Skinless,g,81,1,120,3,0,24,,0.2,0.1,0.2,9,1.2,0.8,,4.9,86,87,0,0.3,1.1,0.6,0.8,,,,0.9,0.3,1.2,2,2.3,25.1,0,0.6,0,0,0,0,0.5,1,201.7,340.2,34.3,174.2,,,,1.1,0.3,0.9,1.2,8.1,,,0.3,,54,0.7
2025-10-07,7:00 AM,"Eggs, Cooked",large,3,50,233,16,2,19,,1.7,0.1,0.8,0.1,2.1,0.2,,75,560,441,0,0.4,6.1,2.1,4.9,,,66,0.4,1.8,1,1.6,1.4,15,0,0.6,0,0.1,0,0.1,2,1,258,189,46.2,186,,1.7,,0.9,0.2,0.8,1.2,224,,3.3,1.5,0.4,112,1.6
2025-10-07,7:00 AM,Focaccia Italian Flatbread Plain,g,56,1,139,4,20,5,,,0.3,0.2,2.1,0.4,0.1,,19.6,,2,0.1,,3.2,0.6,0.5,,1,77.3,,1.8,,,,11.2,0.2,,,,,,,,71.7,63.8,8.9,314.2,,1,,,,,,0,,,0.8,3.2,26,0.7
2025-10-07,7:00 AM,Spinach Cooked Boiled Drained With Salt,cup,0.5,180,21,0,3,3,,,0.1,0.2,0.4,0.1,0.2,,122.4,,18,0.2,0,0,0.1,0,,2.2,131.4,0.1,3.2,0.1,0.2,0.2,78.3,0.8,0,,,,,,0.1,50.4,419.4,1.4,275.4,,0.4,,0.1,0,0.1,0.2,471.6,8.8,,1.9,444.6,82,0.7
2025-10-07,11:59 AM,"Wild Berry Gummi Candy, Wild Berry",serving,0.3,100,100,0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
2025-10-07,1:15 PM,bok choy,cup,1,170,20,0,3,3,,,0.1,0.1,0.7,0.1,0.3,,158.1,,21,0,0,0,0.1,0,,1.7,69.7,0,1.8,0.2,0.2,0.2,18.7,0.2,0,,,,,,0.1,49.3,630.7,0.7,57.8,,1.4,,0.1,0,0.1,0.1,,44.2,,0.2,57.8,162,0.3
2025-10-07,1:15 PM,chicken breast,oz,4,28.35,187,4,0,35,,0.4,0.1,0.1,15.5,1.1,0.7,,17,96,97,0.1,0.5,1.4,0.9,1.1,,,4.5,1.1,1.2,1.9,2.6,3,32.9,0,1,,0,0,,,1.4,258.6,290.3,31.3,83.9,,,,1.5,0.4,1.2,1.7,,,,0.3,0.3,74,1.1
2025-10-07,1:15 PM,cooked white rice,cup,0.5,158,103,0,22,2,,,0.1,0,1.2,0.3,0.1,,7.9,,2,0.1,0,0.1,0.1,0.1,,0.3,45.8,0,0.9,0.1,0.2,0.1,9.5,0.4,0,,,,,,0.1,34,27.6,5.9,0.8,,0,,0.1,0,0.1,0.1,,,,0,,54,0.4
2025-10-07,1:25 PM,Strawberry Lemon Soda,portion,1,354.88,30,0,9,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,
2025-10-07,1:37 PM,Healthy Harvest Whole Grain Macaroni,cup,0.5,113.33,200,1,39,8,,,,,,,,,20,,,,,,,0.3,,5.3,,,2,,,,,,,,,,,,,,100,,2.7,,1.3,,,,,,,,,,,,
2025-10-07,7:00 PM,Cod Liver Oil,softgel,1,100,10,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,70,,,,,,,,,,,,,,,300,,10,,,,
2025-10-07,7:00 PM,Magnesium l-Threonate,capsules,2,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-07,7:00 PM,Methyl Multi,capsules,2,50,0,0,0,0,,250,10,10,32,100,10,,50,,18,0.5,,,,,,,850,,,,,,50,0.3,,,,,,,,,49.5,50,30,,,,,,,,,125,2.5,67,30,,6.5
2025-10-07,7:00 PM,Raspberry Spread,tbsp,1,18,30,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,7,,,,,,,14,,,,,
2025-10-07,7:00 PM,Sourdough Bread,g,59,1,160,1,31,6,,,0.4,0.3,2.8,0.3,0.1,,30.7,,5,0.1,0.1,0.2,0.5,0.3,,1.3,72.6,0.1,2.3,0.2,0.4,0.2,18.9,0.3,0.1,0,,,0,0.5,0.3,62,69,16.9,355.2,,2.7,,0.2,0.1,0.1,0.3,,,,0.1,0.4,19,0.6
2025-10-07,7:09 PM,Designer Whey Protein Gourmet Chocolate,scoop,1,31,110,2,6,20,,,1.5,1.7,,10,2,,200,55,,,,,,1,,3,,,,,,,100,,,,,,,,,200,180,,90,,2,,,,,,,,,,,,5.2
2025-10-07,7:09 PM,"Milk, Whole",g,80,1,48,3,4,3,,0.4,0,0.1,0.1,0.3,0,,98.4,10,14,0,0,0.6,0.1,1.5,,,,0.1,,0.1,0.3,0.2,9.6,,0.1,0,,0,0,0.1,0.1,80.8,120,1.5,30.4,,3.7,,0.1,0,0.1,0.2,25.3,,0.8,0,0.2,70,0.3
2025-10-07,8:06 PM,Turkey Ground 93% Lean 7% Fat Raw,g,150,1,225,13,0,28,,1.8,0.1,0.3,8.1,1.5,0.5,,31.5,111,80,0.2,0.3,4.3,3.8,3.3,,,10.5,0.8,1.8,1.3,2.3,2.5,31.5,0,0.8,0.2,0,0,0.2,3.3,1.1,289.5,319.5,28.5,103.5,,,,1.3,0.3,1,1.3,33,,0.6,0.2,,109,3.8
